MarriageQuality,case,TFP,se
-1.0,Married,0.474508636326628,0.06683741485847222
-0.5,Married,0.4935653870199679,0.06320081613522822
0.0,Married,0.5126221377133078,0.06039083753664062
0.5,Married,0.5316788884066477,0.05852666332209208
1.0,Married,0.5507356390999876,0.05770003764193501
-1.0,Divorced,0.5829994037987771,0.09577182059658942
-0.5,Divorced,0.5829994037987771,0.09577182059658942
0.0,Divorced,0.5829994037987771,0.09577182059658942
0.5,Divorced,0.5829994037987771,0.09577182059658942
1.0,Divorced,0.5829994037987771,0.09577182059658942
