YEAR,KID,FID,MID,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,YBIRTH,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
2002,7047,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,NA,NA,NA,3528,25330.940750665774,7.179971868102544,NA,2.5,1,32,28,TRUE,TRUE,5,5,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,2,2
2007,7047,7177,7034,1974,1993,1997,1997,1970,1992,1981,0,0,2496,26574.89003781156,10.646991201046282,760,NA,NA,NA,7,5,37,33,TRUE,TRUE,10,10,2,1995,75,32,75,16,79,27,8,10,4,0,3,12,0,0.046875,2,2
1997,7039,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,0,0,NA,0,0,NA,NA,2.5,2,40,41,FALSE,FALSE,-5,-3,2,1987,78,26,88,15,98,29,9,5,4,10.75,23.6666666666667,10,0.09598214285714286,0.2113095238095241,3,3
2002,7039,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,0,0,NA,1040,4978.113828551097,4.7866479120683625,NA,5,4,45,46,TRUE,TRUE,0,2,2,1987,67,33,76,19,79,31,11,6,6,NA,NA,15,NA,NA,2,2
2007,7039,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,NA,6228.489852612084,NA,0,0,NA,NA,5,4,50,51,TRUE,TRUE,5,7,2,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,2
1997,7040,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,0,0,NA,0,0,NA,NA,2.5,2,40,41,FALSE,FALSE,-5,-3,2,1989,90,24,97,14,106,26,9,10,5,8.25,23.25,8,0.07366071428571429,0.20758928571428573,3,3
2002,7040,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,0,0,NA,1040,4978.113828551097,4.7866479120683625,NA,5,4,45,46,TRUE,TRUE,0,2,2,1989,85,40,91,24,89,34,10,11,11,NA,NA,13,NA,NA,2,2
2007,7040,7005,7171,1956,1979,2002,2000,1957,1992,1981,0,0,NA,6228.489852612084,NA,0,0,NA,NA,5,4,50,51,TRUE,TRUE,5,7,2,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,2,2
1997,7045,7031,7175,1973,1992,9999,9999,1973,1992,1981,0,0,1728,NA,NA,0,0,NA,NA,0,0,24,24,FALSE,FALSE,-8002,-8002,2,1992,88,4,NA,NA,103,11,6,5,0,23.5833333333333,17.5,5,0.2105654761904759,0.22216796875,1,1
2002,7045,7031,7175,1973,1992,9999,9999,1973,1992,1981,0,0,3800,32176.804594505946,8.467580156448934,520,3484.679679985768,6.7013070768957075,NA,1,0,29,29,FALSE,FALSE,-7997,-7997,2,1992,78,28,112,25,79,25,12,8,3,8.41666666666667,3,10,0.08251633986928107,0.07707509881422926,1,1
2007,7045,7031,7175,1973,1992,9999,9999,1973,1992,1981,0,0,5824,NA,NA,NA,NA,NA,NA,1.5,0,34,34,FALSE,FALSE,-7992,-7992,2,1992,73,35,80,21,75,28,12,11,9,21.85,0,15,NA,NA,1,1
1997,10034,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,2080,19308.244821678865,9.278684317084567,500,5792.47344650366,11.58494689300732,NA,7,5,36,34,FALSE,FALSE,-15,-1,1,1990,140,37,127,17,131,27,15,2,0,14.5,12,7,0.1416228399699474,0.16666666666666666,3,3
2002,10034,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,2100,20103.921230687123,9.573295824136725,960,8424.500325240318,8.77552117212533,NA,10.5,7,41,39,TRUE,FALSE,-10,4,1,1990,115,50,97,25,123,45,25,2,0,NA,NA,12,NA,NA,3,2
2007,10034,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,NA,NA,NA,2080,23253.028783085116,11.179340761098645,NA,15,11,46,44,TRUE,FALSE,-5,9,1,1990,105,52,91,28,99,43,24,3,0,NA,NA,17,NA,NA,3,2
1997,10035,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,2080,19308.244821678865,9.278684317084567,500,5792.47344650366,11.58494689300732,NA,7,5,36,34,FALSE,FALSE,-15,-1,1,1992,84,4,NA,NA,85,7,9,1,0,31.3333333333333,69.5,5,0.306035562233909,0.9652777777777778,3,3
2002,10035,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,2100,20103.921230687123,9.573295824136725,960,8424.500325240318,8.77552117212533,NA,10.5,7,41,39,TRUE,FALSE,-10,4,1,1992,91,37,83,17,81,26,14,2,2,NA,NA,10,NA,NA,3,2
2007,10035,10176,10006,1963,1986,2012,1998,1961,9999,1988,0,0,NA,NA,NA,2080,23253.028783085116,11.179340761098645,NA,15,11,46,44,TRUE,FALSE,-5,9,1,1992,81,40,66,16,70,26,16,2,0,16,0,15,0.2222222222222222,NA,3,2
1997,10033,10005,10177,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2340,NA,NA,NA,6.5,6,39,33,TRUE,FALSE,-8002,6,1,1990,95,23,101,13,97,22,11,6,6,48.5,0,7,0.7238805970149254,NA,1,1
2002,10033,10005,10177,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2295,28719.887472410173,12.51411218841402,NA,10.5,10,44,38,TRUE,FALSE,-7997,11,1,1990,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,12,NA,NA,1,1
2007,10033,10005,10177,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2080,21592.098155721895,10.38081642102014,NA,15.5,15,49,43,TRUE,FALSE,-7992,16,1,1990,90,47,90,28,93,40,13,1,0,17.7833333333333,0,17,0.24699074074074026,NA,1,1
1997,14032,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2200,38616.48964335773,17.549049182370347,768,18235.564553807817,23.749141130665006,NA,20.5,17,36,41,FALSE,FALSE,-8002,-8002,2,1992,113,13,NA,NA,127,19,11,2,0,40.9166666666667,7.58333333333333,5,0.42082014767932524,0.1088116261957321,1,1
2002,14032,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2180,66055.7411865434,30.300798709423578,1255,18189.262065859777,14.493435909051616,NA,24,19,41,46,FALSE,FALSE,-7997,-7997,2,1992,108,44,122,30,103,34,17,1,1,27.6666666666667,28.3333333333333,10,0.3148756110016784,0.4043175997072809,1,1
2007,14032,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2600,50658.384134578286,19.483993897914758,1560,17439.771587313837,11.179340761098645,NA,28,22,46,51,FALSE,FALSE,-7992,-7992,2,1992,107,51,143,39,138,54,22,4,1,25.5,27,15,0.31097560975609756,0.43548387096774194,1,1
1997,14033,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2200,38616.48964335773,17.549049182370347,768,18235.564553807817,23.749141130665006,NA,20.5,17,36,41,FALSE,FALSE,-8002,-8002,2,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.1666666666667,10.0833333333333,3,0.42339135021097085,0.14468359087564336,1,1
2002,14033,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2180,66055.7411865434,30.300798709423578,1255,18189.262065859777,14.493435909051616,NA,24,19,41,46,FALSE,FALSE,-7997,-7997,2,1994,105,33,120,21,120,31,14,2,0,29.75,26.4166666666667,8,0.3385861238783104,0.3769667032564952,1,1
2007,14033,14173,14003,1956,1991,9999,9999,1961,1970,1980,1,0,2600,50658.384134578286,19.483993897914758,1560,17439.771587313837,11.179340761098645,NA,28,22,46,51,FALSE,FALSE,-7992,-7992,2,1994,108,48,119,32,106,39,17,0,0,13.6666666666667,11.1833333333333,13,0.16666666666666707,0.18037634408602096,1,1
1997,14030,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,2352,55779.3739292945,23.716960722628873,0,0,NA,NA,4,1,34,31,FALSE,FALSE,-8002,-8002,2,1985,99,43,103,27,93,32,12,3,1,18,15.0833333333333,12,0.16071428571428573,0.22590245775729595,1,1
2002,14030,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,2220,57439.77494482035,25.873772497666824,1974,19621.42712115063,9.939932685486642,NA,5.5,2,39,36,FALSE,FALSE,-7997,-7997,2,1985,96,50,101,32,91,39,14,3,0,0,8.83333333333333,17,0,0.12745098039215683,1,1
2007,14030,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,0,0,NA,2080,29066.285978856395,13.974175951373287,NA,10.5,7,44,41,FALSE,FALSE,-7992,-7992,2,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
1997,14031,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,2352,55779.3739292945,23.716960722628873,0,0,NA,NA,4,1,34,31,FALSE,FALSE,-8002,-8002,2,1988,98,36,108,22,110,31,13,8,2,19.5833333333333,2.5,9,0.1748511904761902,0.03744239631336405,1,1
2002,14031,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,2220,57439.77494482035,25.873772497666824,1974,19621.42712115063,9.939932685486642,NA,5.5,2,39,36,FALSE,FALSE,-7997,-7997,2,1988,96,48,99,29,97,40,16,4,3,28,22.25,14,0.3781818181818181,0.32103218645948944,1,1
2007,14031,14004,14172,1966,1984,9999,9999,1963,1970,1980,0,0,0,0,NA,2080,29066.285978856395,13.974175951373287,NA,10.5,7,44,41,FALSE,FALSE,-7992,-7992,2,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,1,1
1997,18038,18003,18170,1955,1975,1994,1993,1956,1970,1980,0,0,2500,64360.81607226289,25.744326428905154,2080,48270.61205419716,23.20207419405077,NA,17.5,15,41,42,TRUE,TRUE,3,4,2,1985,119,48,103,26,111,37,14,5,5,42.6833333333333,0,12,0.5928240740740737,0,2,2
2002,18038,18003,18170,1955,1975,1994,1993,1956,1970,1980,0,0,3120,42651.90488527635,13.67048233502447,1882,23894.946377045264,12.696570869843391,NA,21.5,18,46,47,TRUE,TRUE,8,9,2,1985,116,54,96,30,97,42,18,1,1,5,0,17,0.06595636732623034,0,2,2
2007,18038,18003,18170,1955,1975,1994,1993,1956,1970,1980,0,0,2704,31557.681919901228,11.67074035499304,NA,NA,NA,NA,NA,NA,51,52,TRUE,TRUE,13,14,2,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,2,2
1997,22031,22004,22173,1965,1988,1993,1990,1964,1971,1982,0,0,2000,16090.204018065722,8.045102009032862,2600,32180.408036131445,12.378730291231895,NA,8,8,33,32,TRUE,TRUE,4,7,2,1989,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,NA,NA,2,2
2002,22031,22004,22173,1965,1988,1993,1990,1964,1971,1982,0,0,1744,17231.932483446104,9.880695231333775,1868,40207.842461374246,21.524540932213196,NA,13,13,38,37,TRUE,TRUE,9,12,2,1989,115,51,107,29,120,45,21,0,0,52.25,0,13,0.6868048533872598,0,2,2
2007,22031,22004,22173,1965,1988,1993,1990,1964,1971,1982,0,0,2080,33218.61254726445,15.970486801569423,2080,34049.07786094606,16.369748971608715,NA,18,18,43,42,TRUE,TRUE,14,17,2,1989,126,55,97,31,115,50,17,5,0,17.1666666666667,0,18,0.23842592592592637,0,2,2
1997,39031,39030,39174,1972,1992,9999,9999,1970,9999,1983,0,1,2000,34862.10870580906,17.431054352904532,0,0,NA,NA,1,0,27,25,FALSE,FALSE,-8002,-8002,1,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9166666666667,23.4166666666667,2,0.37425595238095266,0.318427475592748,1,1
2002,39031,39030,39174,1972,1992,9999,9999,1970,9999,1983,0,1,2450,37335.85371413323,15.239123964952338,1250,0,NA,NA,6,5,32,30,FALSE,FALSE,-7997,-7997,1,1995,141,45,136,26,128,32,10,4,0,6.6,1.33333333333333,7,0.075032794053345,0.02054929855759726,1,1
2007,39031,39030,39174,1972,1992,9999,9999,1970,9999,1983,0,1,2340,56471.641330349565,24.133180055704976,1560,12456.979705224168,7.985243400784719,NA,10.5,9,37,35,FALSE,FALSE,-7992,-7992,1,1995,131,53,121,32,108,39,13,5,3,10.8333333333333,0,12,0.132113821138211,0,1,1
1997,40035,40171,40004,1961,1979,1994,1993,1962,1970,1977,0,0,192,2145.360535742096,11.17732839121632,3120,19308.244821678865,6.189365145615947,NA,10.5,8,35,36,TRUE,TRUE,3,4,2,1986,86,35,87,19,93,31,20,9,6,0,20.15,11,0,0.18604403409090908,2,2
2002,40035,40171,40004,1961,1979,1994,1993,1962,1970,1977,0,0,710,28719.887472410173,40.45054573578898,0,0,NA,NA,13,10,40,41,TRUE,TRUE,8,9,2,1986,90,47,88,26,97,42,24,3,6,0,0,16,0,0,2,2
2007,40035,40171,40004,1961,1979,1994,1993,1962,1970,1977,0,0,NA,NA,NA,195,215.92098155721894,1.1072870849088121,NA,14.5,10,45,46,TRUE,TRUE,13,14,2,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,2,2
1997,40038,40172,40030,1971,1989,1993,1992,1970,1970,1977,0,0,0,0,NA,1820,11799.48294658153,6.47898881794113,NA,6,3,27,26,TRUE,TRUE,4,5,2,1992,77,4,NA,NA,127,20,10,8,8,15.6666666666667,10.6666666666667,5,0.2034632034632039,0.09523809523809554,2,2
2002,40038,40172,40030,1971,1989,1993,1992,1970,1970,1977,0,0,NA,NA,NA,2090,18667.926857066614,8.932022419649098,NA,11,8,32,31,TRUE,TRUE,9,10,2,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,2
2007,40038,40172,40030,1971,1989,1993,1992,1970,1970,1977,0,0,2080,59793.502585076014,28.746876242824992,2704,16609.306273632224,6.142494923680555,NA,16,13,37,36,TRUE,TRUE,14,15,2,1992,106,51,97,29,123,50,20,0,0,24,22,15,0.4,0.3055555555555556,2,2
1997,47034,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,2080,12872.163214452577,6.189365145615947,NA,6436.081607226289,NA,NA,16.5,14,37,37,FALSE,FALSE,-8002,-8002,2,1987,NA,NA,NA,NA,NA,NA,NA,4,3,23.8333333333333,13.25,10,NA,0.1840277777777778,1,1
2002,47034,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,3744,0,NA,3250,0,NA,NA,21.5,19,42,42,FALSE,FALSE,-7997,-7997,2,1987,NA,NA,NA,NA,NA,NA,NA,2,0,27.5,16.25,15,0.5555555555555556,0.40625,1,1
2007,47034,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,NA,29066.285978856395,NA,1456,26574.89003781156,18.251984916079387,NA,26,23,47,47,FALSE,FALSE,-7992,-7992,2,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1
1997,47036,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,2080,12872.163214452577,6.189365145615947,NA,6436.081607226289,NA,NA,16.5,14,37,37,FALSE,FALSE,-8002,-8002,2,1990,NA,NA,NA,NA,NA,NA,NA,3,0,38.6666666666667,41.5833333333333,7,NA,0.5775462962962958,1,1
2002,47036,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,3744,0,NA,3250,0,NA,NA,21.5,19,42,42,FALSE,FALSE,-7997,-7997,2,1990,NA,NA,NA,NA,NA,NA,NA,1,3,40,30.3333333333333,12,0.8080808080808081,0.7583333333333325,1,1
2007,47036,47170,47004,1960,1981,9999,9999,1960,1971,9999,0,1,NA,29066.285978856395,NA,1456,26574.89003781156,18.251984916079387,NA,26,23,47,47,FALSE,FALSE,-7992,-7992,2,1990,89,46,76,22,86,35,13,1,1,27.9,48.5,17,0.33214285714285713,NA,1,1
1997,47040,47176,47032,1972,1995,9999,9999,1969,1971,9999,1,1,1960,30035.047500389348,15.328601027877276,880,13944.843482323626,15.84348755645538,NA,1.5,1,28,25,FALSE,FALSE,-8002,-8002,2,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5833333333333,24.8333333333333,0,0.5740965480043146,0.3341959972394751,1,1
2002,47040,47176,47032,1972,1995,9999,9999,1969,1971,9999,1,1,2735,52653.12703275199,19.251600377605847,406,3350.653538447854,8.252841227704074,NA,4,1,33,30,FALSE,FALSE,-7997,-7997,2,1997,NA,NA,NA,NA,NA,NA,NA,6,3,38.1666666666667,19.6666666666667,5,0.3663098314261108,0.3310672277975618,1,1
2007,47040,47176,47032,1972,1995,9999,9999,1969,1971,9999,1,1,2600,NA,NA,1040,16609.306273632224,15.970486801569423,NA,8.5,5,38,35,FALSE,FALSE,-7992,-7992,2,1997,129,50,97,23,119,38,NA,5,4,33.8666666666667,17.4166666666667,10,0.3681159420289859,0.2809139784946242,1,1
1997,47037,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,2000,96541.22410839432,48.270612054197166,45,5363.40133935524,119.18550456315215,NA,4.5,2,33,29,TRUE,FALSE,-1,0,2,1990,140,39,133,22,115,24,14,5,4,31.3333333333333,19.3333333333333,7,0.28194035877025986,0.2629009762900971,3,2
2002,47037,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,1878,57439.77494482035,30.585609661778676,1538,23933.23956034181,15.561274096451113,NA,9,6,38,34,TRUE,TRUE,4,5,2,1990,118,51,115,31,122,45,18,5,3,24.9166666666667,0,12,0.3023020687509726,0,2,2
2007,47037,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,1820,33218.61254726445,18.251984916079387,NA,NA,NA,NA,11,8,43,39,TRUE,TRUE,9,10,2,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,2
1997,47038,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,2000,96541.22410839432,48.270612054197166,45,5363.40133935524,119.18550456315215,NA,4.5,2,33,29,TRUE,FALSE,-1,0,2,1992,121,12,NA,NA,126,16,8,13,1,23.8333333333333,15.5,5,0.21445463459652736,0.21077405857740583,3,2
2002,47038,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,1878,57439.77494482035,30.585609661778676,1538,23933.23956034181,15.561274096451113,NA,9,6,38,34,TRUE,TRUE,4,5,2,1992,119,47,113,26,123,39,13,8,2,13.6666666666667,0,10,0.16581116814434635,0,2,2
2007,47038,47005,47173,1968,1989,1998,1997,1964,1970,1980,1,1,1820,33218.61254726445,18.251984916079387,NA,NA,NA,NA,11,8,43,39,TRUE,TRUE,9,10,2,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,2,2
1997,50034,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,3500,69724.21741161813,19.919672574365364,1530,48270.61205419716,31.547526678087525,NA,13.5,13,38,36,FALSE,FALSE,-8002,-8002,2,1993,105,7,NA,NA,97,7,1,3,0,23.6166666666667,11.3,4,0.28599596335972716,0.25283993115318415,1,1
2002,50034,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,2530,43079.831208615265,17.027601268227375,3129,33506.535384478535,10.708384590756964,NA,18.5,18,43,41,FALSE,FALSE,-7997,-7997,2,1993,96,37,97,19,90,28,15,2,2,37.9,15.4833333333333,9,0.7312801484230055,0.2444242056263909,1,1
2007,50034,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,2600,59793.502585076014,22.99750099426001,2080,40692.80037039895,19.563846331922566,NA,23.5,23,48,46,FALSE,FALSE,-7992,-7992,2,1993,99,48,84,23,102,41,13,4,0,18.6666666666667,5,14,0.25925925925925974,0.08064516129032258,1,1
1997,50035,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,3500,69724.21741161813,19.919672574365364,1530,48270.61205419716,31.547526678087525,NA,13.5,13,38,36,FALSE,FALSE,-8002,-8002,2,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8833333333333,13.9666666666667,2,0.2528955131190805,0.31250717154331686,1,1
2002,50035,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,2530,43079.831208615265,17.027601268227375,3129,33506.535384478535,10.708384590756964,NA,18.5,18,43,41,FALSE,FALSE,-7997,-7997,2,1995,106,30,100,13,56,12,9,5,5,14.4,26.0666666666667,7,0.277847866419295,0.4114956486541191,1,1
2007,50035,50170,50005,1961,1991,9999,9999,1959,1970,1980,1,1,2600,59793.502585076014,22.99750099426001,2080,40692.80037039895,19.563846331922566,NA,23.5,23,48,46,FALSE,FALSE,-7992,-7992,2,1995,101,46,90,23,78,27,12,6,3,7.91666666666667,5.08333333333333,12,0.10995370370370375,0.08198924731182791,1,1
1997,50032,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,2340,26817.006696776203,11.456225260862793,1750,24671.646161034107,14.095018719825573,NA,10,10,38,37,FALSE,FALSE,-14,-14,1,1989,141,45,117,21,128,32,13,7,2,11.75,1.25,8,0.14997545409916546,0.018656716417910446,3,3
2002,50032,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,1999,26158.07350987119,13.085579544707947,2030,29266.522663968382,14.417006238408069,NA,15,15,43,42,FALSE,FALSE,-9,-9,1,1989,128,54,103,29,111,44,18,6,6,11,0.416666666666667,13,0.15076436478650504,0.005664488017429198,3,3
2007,50032,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,2080,20761.632842040282,9.981554250980931,2340,28900.19291612007,12.35050979321373,NA,20,20,48,47,FALSE,FALSE,-4,-4,1,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,3,3
1997,50033,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,2340,26817.006696776203,11.456225260862793,1750,24671.646161034107,14.095018719825573,NA,10,10,38,37,FALSE,FALSE,-14,-14,1,1991,105,14,NA,NA,116,19,11,9,3,13.25,0,6,0.16912125675012274,0,3,3
2002,50033,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,1999,26158.07350987119,13.085579544707947,2030,29266.522663968382,14.417006238408069,NA,15,15,43,42,FALSE,FALSE,-9,-9,1,1991,109,47,105,27,98,35,19,6,2,12.0833333333333,1.33333333333333,11,0.16561237040941795,0.018126361655773374,3,3
2007,50033,50003,50171,1960,1988,2011,2011,1959,9999,1986,0,1,2080,20761.632842040282,9.981554250980931,2340,28900.19291612007,12.35050979321373,NA,20,20,48,47,FALSE,FALSE,-4,-4,1,1991,96,49,94,29,129,53,NA,3,2,0,0,16,0,0,3,3
1997,51031,51170,51030,1970,1988,1992,1991,1968,9999,1986,0,0,NA,NA,NA,0,0,NA,NA,3.5,0,29,27,TRUE,TRUE,5,6,1,1988,88,29,99,18,93,25,10,6,0,18.4166666666667,0,9,0.1644345238095241,NA,2,2
2002,51031,51170,51030,1970,1988,1992,1991,1968,9999,1986,0,0,NA,NA,NA,0,0,NA,NA,3.5,0,34,32,TRUE,TRUE,10,11,1,1988,113,52,125,35,100,41,13,10,9,55.75,55.75,14,0.49776785714285715,NA,2,2
2007,51031,51170,51030,1970,1988,1992,1991,1968,9999,1986,0,0,NA,NA,NA,0,0,NA,NA,4,0,39,37,TRUE,TRUE,15,16,1,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,2,2
1997,53036,53173,53004,1958,1978,9999,9999,1958,9999,1983,0,0,2080,26817.006696776203,12.893616819809997,2080,16090.204018065722,7.734024731350257,NA,11.5,10,39,39,FALSE,FALSE,-8002,-8002,1,1986,123,48,101,24,97,31,10,6,5,12.6666666666667,58.4166666666667,11,0.17592592592592637,0.811342592592593,1,1
2002,53036,53173,53004,1958,1978,9999,9999,1958,9999,1983,0,0,1920,33851.17403414746,17.630819809451804,2000,19912.455314204388,9.956227657102195,NA,16.5,15,44,44,FALSE,FALSE,-7997,-7997,1,1986,105,52,92,27,94,40,14,7,5,8.66666666666667,1.5,16,0.11785216178521621,0.01997950819672131,1,1
2007,53036,53173,53004,1958,1978,9999,9999,1958,9999,1983,0,0,2080,33218.61254726445,15.970486801569423,1820,14948.375646269003,8.213393212235717,NA,21.5,20,49,49,FALSE,FALSE,-7992,-7992,1,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
