KID,YEAR,MID,FID,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
1043038,1997,1043008,1043175,1989,1964,1986,1999,1998,1962,1972,1981,0,0,2200,38616.48964335773,17.549049182370347,2400,16090.204018065722,6.704251674194051,NA,13,13,35,33,FALSE,FALSE,-2,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8333333333333,9.91666666666667,8,0.3012071651090338,0.14229212656364978,3,3
1043038,2002,1043008,1043175,1989,1964,1986,1999,1998,1962,1972,1981,0,0,2128,47866.47912068362,22.493646203328773,926,4020.7842461374244,4.342099617858989,NA,17.5,17,40,38,TRUE,TRUE,3,4,2,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA,13,NA,NA,2,2
1043038,2007,1043008,1043175,1989,1964,1986,1999,1998,1962,1972,1981,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,43,TRUE,TRUE,8,9,2,112,49,88,22,113,41,12,6,4,10.8333333333333,0,18,NA,NA,2,2
1045031,1997,1045030,1045171,1994,1972,1994,9999,9999,1965,1972,1981,1,0,2750,18235.564553807817,6.629164055443077,2000,8581.442142968384,4.290721071484192,NA,1,1,32,25,FALSE,FALSE,-8002,-8002,2,83,1,NA,NA,96,4,0,2,0,25.5,22.5666666666667,3,0.3467573221757322,0.38173931901973596,1,1
1045031,2002,1045030,1045171,1994,1972,1994,9999,9999,1965,1972,1981,1,0,4352,0,NA,0,0,NA,NA,2.5,2,37,30,FALSE,FALSE,-7997,-7997,2,120,41,119,22,114,31,13,8,4,24.6666666666667,14.5,8,0.22023809523809554,0.5122282608695652,1,1
1045031,2007,1045030,1045171,1994,1972,1994,9999,9999,1965,1972,1981,1,0,4368,NA,NA,3900,NA,NA,NA,3.5,3,42,35,FALSE,FALSE,-7992,-7992,2,133,54,126,34,113,43,18,5,4,24.25,23,13,0.6554054054054054,0.8214285714285714,1,1
1048034,1997,1048006,1048179,1984,1966,1982,1987,1986,1963,1967,1983,0,0,NA,NA,NA,2080,11799.48294658153,5.6744786170378445,NA,12,11,34,31,TRUE,TRUE,10,11,2,96,43,93,24,112,40,14,5,0,4.16666666666667,0,13,0.05787037037037041,NA,2,2
1048034,2002,1048006,1048179,1984,1966,1982,1987,1986,1963,1967,1983,0,0,NA,NA,NA,137,574.3977494482035,4.192684302541632,NA,14.5,13,39,36,TRUE,TRUE,15,16,2,96,51,99,32,105,47,23,8,5,0,0,18,0,NA,2,2
1048034,2007,1048006,1048179,1984,1966,1982,1987,1986,1963,1967,1983,0,0,NA,NA,NA,2080,14948.375646269003,7.186719060706248,NA,19.5,18,44,41,TRUE,TRUE,20,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,2,2
1051044,1997,1051036,1051183,1996,1972,1992,9999,9999,1971,1971,1987,0,0,2040,37543.809375486686,18.407193396667186,2000,13944.843482323626,6.972421741161813,NA,5,5,26,25,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5833333333333,19.4166666666667,1,0.2527022315202227,0.2668252290345318,1,1
1051044,2002,1051036,1051183,1996,1972,1992,9999,9999,1971,1971,1987,0,0,2340,52653.12703275199,22.501336338782902,0,0,NA,NA,5.5,5,31,30,FALSE,FALSE,-7997,-7997,2,89,13,99,4,96,19,11,4,2,41.8333333333333,28.9166666666667,6,0.3735119047619045,0.43159203980099553,1,1
1051044,2007,1051036,1051183,1996,1972,1992,9999,9999,1971,1971,1987,0,0,2600,33218.61254726445,12.77638944125557,2444,4982.7918820896675,2.038785549136522,NA,7,6,36,35,FALSE,FALSE,-7992,-7992,2,109,45,106,27,111,37,14,2,2,15.75,20.5833333333333,11,0.2423076923076923,0.33198924731182744,1,1
1060032,1997,1060031,1060174,1996,1975,1995,1998,1998,1973,9999,9999,0,1,2000,11799.48294658153,5.8997414732907645,0,0,NA,NA,2.5,1,24,22,FALSE,FALSE,-1,-1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5833333333333,23.8333333333333,1,0.692708333333333,0.324093444909344,3,3
1060032,2002,1060031,1060174,1996,1975,1995,1998,1998,1973,9999,9999,0,1,1930,20103.921230687123,10.416539497765347,0,0,NA,NA,4,1,29,27,TRUE,TRUE,4,4,1,110,22,107,8,106,22,10,6,1,46.8333333333333,0,6,0.4181547619047616,0,2,2
1060032,2007,1060031,1060174,1996,1975,1995,1998,1998,1973,9999,9999,0,1,NA,NA,NA,350,7474.187823134502,21.35482235181285,NA,5.5,1,34,32,TRUE,TRUE,9,9,1,89,37,97,24,111,37,NA,4,0,44.5833333333333,0,11,0.42351723298014826,NA,2,2
1062031,1997,1062004,1062170,1981,1951,1979,9999,9999,1949,1973,1990,1,1,2400,117994.82946581529,49.160936676530135,2000,55779.3739292945,27.88968696464725,NA,17.5,14,48,46,FALSE,FALSE,-8002,-8002,2,190,57,121,32,124,45,17,10,7,8.41666666666667,0,16,0.11445258019525804,0,1,1
1062031,2002,1062004,1062170,1981,1951,1979,9999,9999,1949,1973,1990,1,1,2420,128282.16404343212,53.009158695633104,1716,58397.10452723402,34.03094669419232,NA,22.5,19,53,51,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,1
1062031,2007,1062004,1062170,1981,1951,1979,9999,9999,1949,1973,1990,1,1,2860,161110.2708542326,56.33226253644493,2600,59793.502585076014,22.99750099426001,NA,27.5,24,58,56,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,1,1
1066032,1997,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,3120,NA,NA,1200,611.4277526864975,25.47615636193739,NA,7.5,4,32,31,FALSE,FALSE,-8002,-8002,2,94,41,97,25,110,38,17,3,2,5.83333333333333,5.83333333333333,15,0.06559976931949248,0.11217948717948713,1,1
1066032,2002,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,2040,11487.95498896407,5.631350484786309,2272,22305.77927023857,9.817684537957117,NA,10.5,7,37,36,FALSE,FALSE,-7997,-7997,2,87,46,92,28,90,38,13,8,0,NA,NA,20,NA,NA,1,1
1066032,2007,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,1872,14948.375646269003,7.985243400784719,1976,18685.469557836255,9.456209290402995,NA,15.5,12,42,41,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,1,1
1066034,1997,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,3120,NA,NA,1200,611.4277526864975,25.47615636193739,NA,7.5,4,32,31,FALSE,FALSE,-8002,-8002,2,138,51,103,23,117,35,17,5,2,5.83333333333333,5.83333333333333,15,0.06559976931949248,0.11217948717948713,1,1
1066034,2002,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,2040,11487.95498896407,5.631350484786309,2272,22305.77927023857,9.817684537957117,NA,10.5,7,37,36,FALSE,FALSE,-7997,-7997,2,115,53,103,31,103,43,22,5,8,NA,NA,20,NA,NA,1,1
1066034,2007,1066003,1066171,1982,1966,1982,9999,9999,1965,1970,1987,0,0,1872,14948.375646269003,7.985243400784719,1976,18685.469557836255,9.456209290402995,NA,15.5,12,42,41,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,1,1
1066033,1997,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,3120,26817.006696776203,8.592168945647096,1820,NA,NA,NA,9.5,8,28,28,FALSE,FALSE,-13,-11,2,121,49,99,25,103,35,16,7,7,14.0166666666667,7.58333333333333,12,0.18203463203463247,0.1458333333333333,3,3
1066033,2002,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,2860,36333.52964134611,12.704031343128012,0,0,NA,NA,10,8,33,33,FALSE,FALSE,-8,-6,2,146,56,171,43,95,41,23,14,4,5.33333333333333,3.66666666666667,17,0.047619047619047596,0.06432748538011702,3,3
1066033,2007,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,NA,NA,NA,1350,3487.9543174627674,NA,NA,11,9,38,38,FALSE,FALSE,-3,-1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,3,3
1066035,1997,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,3120,26817.006696776203,8.592168945647096,1820,NA,NA,NA,9.5,8,28,28,FALSE,FALSE,-13,-11,2,109,18,92,1,107,19,11,7,1,9.08333333333333,3.83333333333333,12,0.11796536796536793,0.07371794871794865,3,3
1066035,2002,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,2860,36333.52964134611,12.704031343128012,0,0,NA,NA,10,8,33,33,FALSE,FALSE,-8,-6,2,183,57,131,34,93,33,20,3,4,42.35,20.6833333333333,17,0.378125,0.36286549707602284,3,3
1066035,2007,1066030,1066172,1985,1969,1985,2010,2008,1969,1970,1987,0,0,NA,NA,NA,1350,3487.9543174627674,NA,NA,11,9,38,38,FALSE,FALSE,-3,-1,2,121,54,126,37,110,47,NA,1,3,21.0833333333333,22.6,22,0.2450454477723137,NA,3,3
1072031,1997,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,2880,47197.93178632612,16.390554493069615,3000,38616.48964335773,12.872163214452577,NA,14.5,14,36,33,FALSE,FALSE,-8002,-8002,1,95,36,97,20,100,30,15,0,3,24.1666666666667,12.9166666666667,10,0.4449952785646843,0.22814764492753684,1,1
1072031,2002,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,1880,36378.524131719554,19.350278793467847,2000,32549.205802064866,16.27460290103243,NA,19,18,41,38,FALSE,FALSE,-7997,-7997,1,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,15,NA,NA,1,1
1072031,2007,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,2080,66437.2250945289,31.94097360313893,2080,37370.93911567251,17.966797651765642,NA,24,23,46,43,FALSE,FALSE,-7992,-7992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1
1072032,1997,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,2880,47197.93178632612,16.390554493069615,3000,38616.48964335773,12.872163214452577,NA,14.5,14,36,33,FALSE,FALSE,-8002,-8002,1,79,12,84,2,85,16,7,4,1,38.5,30.75,10,0.7089235127478754,0.5431385869565217,1,1
1072032,2002,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,1880,36378.524131719554,19.350278793467847,2000,32549.205802064866,16.27460290103243,NA,19,18,41,38,FALSE,FALSE,-7997,-7997,1,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,15,NA,NA,1,1
1072032,2007,1072170,1072003,1987,1964,1983,9999,9999,1961,9999,1986,0,1,2080,66437.2250945289,31.94097360313893,2080,37370.93911567251,17.966797651765642,NA,24,23,46,43,FALSE,FALSE,-7992,-7992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1
1077031,1997,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,2450,58997.414732907644,24.081672013705028,750,5363.40133935524,7.154777386699891,NA,15,10,42,40,FALSE,FALSE,-8002,-8002,1,140,54,100,27,112,40,8,2,0,6.33333333333333,5.5,12,0.06490605702273022,0.0847658565500889,1,1
1077031,2002,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,2450,72757.04826343911,29.69675439324045,980,11487.95498896407,11.722403049963336,NA,18.5,12,47,45,FALSE,FALSE,-7997,-7997,1,143,56,104,33,110,49,16,5,5,15.1666666666667,4.5,17,0.16281310211946085,0.06935388263189093,1,1
1077031,2007,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,1020,56471.641330349565,55.36435424544078,1040,19931.16752835867,19.164584161883358,NA,22.5,15,52,50,FALSE,FALSE,-7992,-7992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
1077032,1997,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,2450,58997.414732907644,24.081672013705028,750,5363.40133935524,7.154777386699891,NA,15,10,42,40,FALSE,FALSE,-8002,-8002,1,197,57,109,27,122,39,20,1,0,6.33333333333333,5.5,12,0.06490605702273022,0.0847658565500889,1,1
1077032,2002,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,2450,72757.04826343911,29.69675439324045,980,11487.95498896407,11.722403049963336,NA,18.5,12,47,45,FALSE,FALSE,-7997,-7997,1,148,56,107,33,123,52,20,2,1,7.08333333333333,7.08333333333333,17,0.07603908615469306,0.10916814858723567,1,1
1077032,2007,1077003,1077170,1985,1957,1980,9999,9999,1955,9999,1988,1,1,1020,56471.641330349565,55.36435424544078,1040,19931.16752835867,19.164584161883358,NA,22.5,15,52,50,FALSE,FALSE,-7992,-7992,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
1084032,1997,1084004,1084173,1987,1955,1986,2000,1999,1953,1975,1982,0,0,2880,51488.65285781031,17.881580065410372,1824,22526.28562529201,12.346549883195763,NA,16,15,44,42,FALSE,FALSE,-3,-2,2,102,39,107,23,109,32,12,7,2,28.5833333333333,6.83333333333333,10,0.37158333333333293,0.1206974637681159,3,3
1084032,2002,1084004,1084173,1987,1955,1986,2000,1999,1953,1975,1982,0,0,3060,55525.115779993,18.145462673200328,2066,34463.86496689221,16.6814448048849,NA,21,20,49,47,TRUE,TRUE,2,3,2,94,47,123,35,109,45,16,11,4,6.35,0,15,0.08786588610963278,0,2,2
1084032,2007,1084004,1084173,1987,1955,1986,2000,1999,1953,1975,1982,0,0,2080,49827.91882089667,23.955730202354133,2080,43184.19631144379,20.76163284204028,NA,26,25,54,52,TRUE,TRUE,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,2
1092032,1997,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,3120,62215.45553652079,19.941126179722783,180,2681.70066967762,14.899528920728859,NA,8,3,42,41,FALSE,FALSE,-8002,-8002,2,135,50,114,25,124,36,15,11,4,28.1666666666667,9.58333333333333,12,0.25950862272619923,0.18429487179487175,1,1
1092032,2002,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,46,FALSE,FALSE,-7997,-7997,2,115,53,103,31,110,46,22,12,7,NA,NA,17,NA,NA,1,1
1092032,2007,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,2860,72250.48229030018,25.262406395209837,2132,20761.632842040282,9.738101708274028,NA,15,9,52,51,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,1,1
1092034,1997,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,3120,62215.45553652079,19.941126179722783,180,2681.70066967762,14.899528920728859,NA,8,3,42,41,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,19.6666666666667,12,0.294826364280652,0.37820512820512886,1,1
1092034,2002,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,46,FALSE,FALSE,-7997,-7997,2,113,41,120,24,104,30,15,10,10,NA,NA,17,NA,NA,1,1
1092034,2007,1092003,1092170,1985,1956,1982,9999,9999,1955,1973,1983,1,1,2860,72250.48229030018,25.262406395209837,2132,20761.632842040282,9.738101708274028,NA,15,9,52,51,FALSE,FALSE,-7992,-7992,2,117,51,103,29,113,43,16,6,4,12.2666666666667,6.76666666666667,22,0.17276995305164367,0.11871345029239772,1,1
1092033,1997,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38,FALSE,FALSE,-8002,-8002,2,111,12,NA,NA,118,17,9,3,3,26.75,16.75,5,NA,NA,1,1
1092033,2002,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,43,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1
1092033,2007,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,48,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,1,1
1092035,1997,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,38,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5833333333333,25.6833333333333,5,NA,NA,1,1
1092035,2002,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,43,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1
1092035,2007,1092004,1092171,1992,1959,1990,9999,9999,1958,1974,1982,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,48,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,1,1
1093031,1997,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,2940,69724.21741161813,23.716960722628873,0,0,NA,NA,4,4,35,34,FALSE,FALSE,-8002,-8002,2,137,50,116,25,123,35,14,4,1,9.5,11.0666666666667,9,0.08482142857142858,0.19953767914933024,1,1
1093031,2002,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,3250,82330.34408757584,25.332413565407947,0,0,NA,NA,4,4,40,39,FALSE,FALSE,-7997,-7997,2,116,53,118,34,129,52,17,3,0,8.5,6.58333333333333,14,0.07589285714285714,0.13299663299663295,1,1
1093031,2007,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,2600,119587.00517015203,45.99500198852002,0,0,NA,NA,4,4,45,44,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,1,1
1093034,1997,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,2940,69724.21741161813,23.716960722628873,0,0,NA,NA,4,4,35,34,FALSE,FALSE,-8002,-8002,2,102,12,NA,NA,87,11,6,1,2,19.9166666666667,16.5,9,0.17782738095238124,0.29750346740638006,1,1
1093034,2002,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,3250,82330.34408757584,25.332413565407947,0,0,NA,NA,4,4,40,39,FALSE,FALSE,-7997,-7997,2,109,46,115,29,111,38,14,0,0,33.25,19.8333333333333,14,0.296875,0.4006734006734,1,1
1093034,2007,1093003,1093170,1988,1963,1984,9999,9999,1962,1973,1980,1,0,2600,119587.00517015203,45.99500198852002,0,0,NA,NA,4,4,45,44,FALSE,FALSE,-7992,-7992,2,104,51,106,32,100,42,17,0,0,45.3333333333333,44.3333333333333,19,0.4047619047619045,0.7150537634408597,1,1
1098032,1997,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,2340,21453.60535742096,9.171416290297461,3120,21453.60535742096,6.875880517053418,NA,9.5,9,29,28,FALSE,FALSE,-11,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,42.6666666666667,3,0.175,0.6368159203980105,3,3
1098032,2002,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,2371,26805.22830758283,11.30545268139301,2256,24890.569142755485,11.033053698029914,NA,14.5,14,34,33,FALSE,FALSE,-6,-4,1,94,31,106,18,100,28,12,8,4,22.25,1,8,0.3242713004484305,0.015059368664929046,3,3
1098032,2007,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,NA,NA,NA,520,4982.7918820896675,NA,NA,18.5,17,39,38,TRUE,FALSE,-1,1,1,91,42,95,26,96,36,13,3,0,0,41.3333333333333,13,0,NA,3,2
1098033,1997,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,2340,21453.60535742096,9.171416290297461,3120,21453.60535742096,6.875880517053418,NA,9.5,9,29,28,FALSE,FALSE,-11,-9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3333333333333,14.8333333333333,3,0.7371794871794866,0.22139303482587014,3,3
1098033,2002,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,2371,26805.22830758283,11.30545268139301,2256,24890.569142755485,11.033053698029914,NA,14.5,14,34,33,FALSE,FALSE,-6,-4,1,93,14,84,1,91,18,9,3,0,19.0833333333333,1,8,0.27812032884902793,0.015059368664929046,3,3
1098033,2007,1098030,1098175,1994,1969,1994,2008,2006,1968,9999,1987,0,1,NA,NA,NA,520,4982.7918820896675,NA,NA,18.5,17,39,38,TRUE,FALSE,-1,1,1,98,41,90,20,105,35,NA,3,1,0,32.1666666666667,13,0,NA,3,2
1107034,1997,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,1960,45052.57125058402,22.98753814047656,882,8581.442142968384,9.729210029590407,NA,6,3,34,34,FALSE,FALSE,-15,-14,2,110,29,118,18,98,22,13,2,0,23.9,24.5666666666667,7,0.25147713476325373,0.3306073153899245,3,3
1107034,2002,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,2008,43079.831208615265,21.45409920747772,702,8615.966241723052,12.273456184790673,NA,8.5,3,39,39,FALSE,FALSE,-10,-9,2,122,52,111,30,96,36,19,0,0,36.4333333333333,25.1666666666667,12,0.3698815566835868,0.3429419986023764,3,3
1107034,2007,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,2600,42353.73099776218,16.28989653760082,1560,21592.098155721895,13.841088561360216,NA,12.5,6,44,44,FALSE,FALSE,-5,-4,2,110,53,100,32,111,48,24,0,1,11.5,20,17,0.1402439024390244,0.3225806451612903,3,3
1107035,1997,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,1960,45052.57125058402,22.98753814047656,882,8581.442142968384,9.729210029590407,NA,6,3,34,34,FALSE,FALSE,-15,-14,2,97,12,NA,NA,110,18,8,6,0,21.8166666666667,24.5666666666667,7,0.2295561850802647,0.3306073153899245,3,3
1107035,2002,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,2008,43079.831208615265,21.45409920747772,702,8615.966241723052,12.273456184790673,NA,8.5,3,39,39,FALSE,FALSE,-10,-9,2,110,46,97,23,96,33,16,7,1,36.1666666666667,24.1666666666667,12,0.367174280879865,0.329315164220825,3,3
1107035,2007,1107175,1107007,1990,1963,1987,2012,2011,1963,1975,1982,0,0,2600,42353.73099776218,16.28989653760082,1560,21592.098155721895,13.841088561360216,NA,12.5,6,44,44,FALSE,FALSE,-5,-4,2,109,52,93,28,87,35,20,6,1,14.3333333333333,7.26666666666667,17,0.17479674796747927,0.11720430107526887,3,3
1109030,1997,1109176,1109021,1993,1967,1991,1994,1994,1946,9999,1981,1,1,4368,47197.93178632612,10.801890297461455,NA,NA,NA,NA,NA,NA,51,30,TRUE,TRUE,3,3,1,118,12,NA,NA,127,17,9,1,0,15,0,4,NA,0,2,2
1109030,2002,1109176,1109021,1993,1967,1991,1994,1994,1946,9999,1981,1,1,2250,40207.842461374246,17.87015220505522,NA,NA,NA,NA,NA,NA,56,35,TRUE,TRUE,8,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,2
1109030,2007,1109176,1109021,1993,1967,1991,1994,1994,1946,9999,1981,1,1,1680,31557.681919901228,18.78433447613167,NA,NA,NA,NA,NA,NA,61,40,TRUE,TRUE,13,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,2,2
1121031,1997,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,2000,32180.408036131445,16.090204018065723,2080,23598.96589316306,11.348957234075689,NA,7.5,6,30,34,TRUE,FALSE,-1,0,1,NA,NA,NA,NA,NA,NA,NA,13,8,NA,NA,9,NA,NA,3,3
1121031,2002,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,815,110092.90197757234,135.08331530990472,1920,25847.898725169158,13.46244725269227,NA,12.5,11,35,39,TRUE,TRUE,4,5,1,107,51,103,30,98,40,15,15,8,0,0,14,0,0,2,2
1121031,2007,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,2080,49827.91882089667,23.955730202354133,2080,22422.563469403503,10.780078591059352,NA,17,15,40,44,TRUE,TRUE,9,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,2,2
1121034,1997,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,2000,32180.408036131445,16.090204018065723,2080,23598.96589316306,11.348957234075689,NA,7.5,6,30,34,TRUE,FALSE,-1,0,1,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,9,NA,NA,3,3
1121034,2002,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,815,110092.90197757234,135.08331530990472,1920,25847.898725169158,13.46244725269227,NA,12.5,11,35,39,TRUE,TRUE,4,5,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,14,NA,NA,2,2
1121034,2007,1121174,1121003,1988,1963,1987,1998,1997,1967,9999,1983,0,0,2080,49827.91882089667,23.955730202354133,2080,22422.563469403503,10.780078591059352,NA,17,15,40,44,TRUE,TRUE,9,10,1,103,50,120,34,101,41,NA,5,5,11.25,0,19,0.15625,0,2,2
1126035,1997,1126030,1126174,1992,1969,1991,9999,9999,1969,9999,2003,1,0,2080,27889.68696464725,13.408503348388102,144,1072.680267871048,7.444401059025074,NA,6.5,6,28,28,FALSE,FALSE,-8002,-8002,1,94,6,NA,NA,95,9,9,7,3,28.25,30,5,0.2586267605633803,0.4166666666666667,1,1
1126035,2002,1126030,1126174,1992,1969,1991,9999,9999,1969,9999,2003,1,0,1915,43079.831208615265,22.49599540919857,1040,32549.205802064866,31.29731327121622,NA,11,10,33,33,FALSE,FALSE,-7997,-7997,1,146,54,113,27,118,38,15,13,6,26.3333333333333,26.25,10,0.2862318840579707,0.34919416730621644,1,1
1126035,2007,1126030,1126174,1992,1969,1991,9999,9999,1969,9999,2003,1,0,2820,63908.458214368395,22.662573834882423,1300,30727.216606219616,23.636320466322815,NA,15,13,38,38,FALSE,FALSE,-7992,-7992,1,118,53,124,35,117,47,NA,11,9,8.66666666666667,9.66666666666667,15,0.09961685823754793,0.16733244562805155,1,1
1126036,1997,1126030,1126174,1992,1969,1991,9999,9999,1969,9999,2003,1,0,2080,27889.68696464725,13.408503348388102,144,1072.680267871048,7.444401059025074,NA,6.5,6,28,28,FALSE,FALSE,-8002,-8002,1,102,4,NA,NA,105,5,4,NA,NA,45.4166666666667,35.5,5,0.41578638497652615,0.4930555555555556,1,1
