KID,YEAR,MID,FID,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
7045,1997,7175,7031,1992,1973,1992,9999,9999,1973,1992,1981,0,0,1728,NA,NA,0,0,NA,NA,0,0,24,24,FALSE,FALSE,-8002,-8002,2,88,4,NA,NA,103,11,6,5,0,23.5833333333333,17.5,5,0.2105654761904759,0.22216796875,1,1
7045,2002,7175,7031,1992,1973,1992,9999,9999,1973,1992,1981,0,0,3800,32176.804594505946,8.467580156448934,520,3484.679679985768,6.7013070768957075,NA,1,0,29,29,FALSE,FALSE,-7997,-7997,2,78,28,112,25,79,25,12,8,3,8.41666666666667,3,10,0.08251633986928107,0.07707509881422926,1,1
7045,2007,7175,7031,1992,1973,1992,9999,9999,1973,1992,1981,0,0,5824,NA,NA,NA,NA,NA,NA,1.5,0,34,34,FALSE,FALSE,-7992,-7992,2,73,35,80,21,75,28,12,11,9,21.85,0,15,NA,NA,1,1
10034,1997,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,2080,19308.244821678865,9.278684317084567,500,5792.47344650366,11.58494689300732,NA,7,5,36,34,FALSE,FALSE,-15,-1,1,140,37,127,17,131,27,15,2,0,14.5,12,10,0.1416228399699474,0.16666666666666666,3,3
10034,2002,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,2100,20103.921230687123,9.573295824136725,960,8424.500325240318,8.77552117212533,NA,10.5,7,41,39,TRUE,FALSE,-10,4,1,115,50,97,25,123,45,25,2,0,NA,NA,15,NA,NA,3,2
10034,2007,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,NA,NA,NA,2080,23253.028783085116,11.179340761098645,NA,15,11,46,44,TRUE,FALSE,-5,9,1,105,52,91,28,99,43,24,3,0,NA,NA,20,NA,NA,3,2
10035,1997,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,2080,19308.244821678865,9.278684317084567,500,5792.47344650366,11.58494689300732,NA,7,5,36,34,FALSE,FALSE,-15,-1,1,84,4,NA,NA,85,7,9,1,0,31.3333333333333,69.5,10,0.306035562233909,0.9652777777777778,3,3
10035,2002,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,2100,20103.921230687123,9.573295824136725,960,8424.500325240318,8.77552117212533,NA,10.5,7,41,39,TRUE,FALSE,-10,4,1,91,37,83,17,81,26,14,2,2,NA,NA,15,NA,NA,3,2
10035,2007,10006,10176,1987,1963,1986,2012,1998,1961,9999,1988,0,0,NA,NA,NA,2080,23253.028783085116,11.179340761098645,NA,15,11,46,44,TRUE,FALSE,-5,9,1,81,40,66,16,70,26,16,2,0,16,0,20,0.2222222222222222,NA,3,2
10033,1997,10177,10005,1990,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2340,NA,NA,NA,6.5,6,39,33,TRUE,FALSE,-8002,6,1,95,23,101,13,97,22,11,6,6,48.5,0,7,0.7238805970149254,NA,1,1
10033,2002,10177,10005,1990,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2295,28719.887472410173,12.51411218841402,NA,10.5,10,44,38,TRUE,FALSE,-7997,11,1,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,12,NA,NA,1,1
10033,2007,10177,10005,1990,1964,1989,9999,1991,1958,9999,1988,0,0,NA,NA,NA,2080,21592.098155721895,10.38081642102014,NA,15.5,15,49,43,TRUE,FALSE,-7992,16,1,90,47,90,28,93,40,13,1,0,17.7833333333333,0,17,0.24699074074074026,NA,1,1
14032,1997,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2200,38616.48964335773,17.549049182370347,768,18235.564553807817,23.749141130665006,NA,20.5,17,36,41,FALSE,FALSE,-8002,-8002,2,113,13,NA,NA,127,19,11,2,0,40.9166666666667,7.58333333333333,5,0.42082014767932524,0.1088116261957321,1,1
14032,2002,14003,14173,1992,1956,1991,9999,9999,1961,1970,1980,1,0,2180,66055.7411865434,30.300798709423578,1255,18189.262065859777,14.493435909051616,NA,24,19,41,46,FALSE,FALSE,-7997,-7997,2,108,44,122,30,103,34,17,1,1,27.6666666666667,28.3333333333333,10,0.3148756110016784,0.4043175997072809,1,1
